x,y,sigma_trace,lambda_trace
5.04371,15.3748,1.23607,2.08333
5.09024,15.4589,1.23607,2.08333
5.22512,15.4753,1.23607,2.08333
5.22512,15.4753,1.23607,2.08333
5.23812,15.5046,1.23607,2.08333
5.25112,15.534,1.23607,2.08333
5.26411,15.5633,1.23607,2.08333
5.27711,15.5927,1.23607,2.08333
5.27711,15.5927,1.23607,2.08333
5.28745,15.5838,1.23607,2.08333
5.29779,15.575,1.23607,2.08333
5.29779,15.575,1.23607,2.08333
5.23769,15.6592,1.23607,2.08333
5.17759,15.7434,1.23607,2.08333
5.17759,15.7434,1.23607,2.08333
5.2177,15.8416,1.23607,2.08333
5.2177,15.8416,1.23607,2.08333
5.25554,15.8651,1.23607,2.08333
5.29338,15.8887,1.23607,2.08333
5.29338,15.8887,1.23607,2.08333
5.27552,15.8963,1.23607,2.08333
5.27552,15.8963,1.23607,2.08333
5.30603,15.9009,1.23607,2.08333
5.33654,15.9054,1.23607,2.08333
5.36705,15.91,1.23607,2.08333
5.39757,15.9146,1.23607,2.08333
5.42808,15.9191,1.23607,2.08333
5.42808,15.9191,1.23607,2.08333
5.41627,15.9815,1.23607,2.08333
5.40446,16.0439,1.23607,2.08333
5.39265,16.1062,1.23607,2.08333
5.38084,16.1686,1.23607,2.08333
5.36904,16.2309,1.23607,2.08333
5.36904,16.2309,1.23607,2.08333
5.36911,16.2772,1.23607,2.08333
5.36919,16.3235,1.23607,2.08333
5.36927,16.3697,1.23607,2.08333
5.36927,16.3697,1.23607,2.08333
5.38416,16.4679,1.23607,2.08333
5.39904,16.566,1.23607,2.08333
5.41393,16.6642,1.23607,2.08333
5.42882,16.7623,1.23607,2.08333
5.56993,16.6691,1.23607,2.08333
5.56993,16.6691,1.23607,2.08333
5.51927,16.7609,1.23607,2.08333
5.51927,16.7609,1.23607,2.08333
5.50869,16.8447,1.23607,2.08333
5.49811,16.9284,1.23607,2.08333
5.48752,17.0122,1.23607,2.08333
5.48752,17.0122,1.23607,2.08333
5.46632,17.078,1.23607,2.08333
5.44512,17.1438,1.23607,2.08333
5.44512,17.1438,1.23607,2.08333
5.42618,17.151,1.23607,2.08333
5.11737,17.2872,1.23607,2.08333
5.11737,17.2872,1.23607,2.08333
5.09348,17.357,1.23607,2.08333
5.0696,17.4267,1.23607,2.08333
5.0696,17.4267,1.23607,2.08333
5.09269,17.4382,1.23607,2.08333
5.09269,17.4382,1.23607,2.08333
