to,from,x,y,cov,cost
224,3,15.7017,8.74448,10.5,5.83832
225,224,17.2475,0.227428,5.74509,14.4945
226,130,5.84413,11.5208,5.74509,13.2709
227,226,12.5718,2.19069,3.39433,24.7737
228,3675,33.4482,1.04306,1.67636,28.9117
229,228,18.3552,0.409392,1.1648,44.018
230,166,15.192,13.2307,1.39951,7.1117
231,230,18.9908,0.637669,1.19737,20.2652
232,3,11.523,7.84618,10.5,2.63789
233,232,19.8538,2.20816,2.24137,12.6972
234,3,12.7502,18.8256,10.5,9.24416
235,234,20.9935,5.46669,1.39951,24.9416
236,115,4.50429,17.5822,1.39951,9.36781
237,236,17.466,4.73745,1.19737,27.6159
238,311,11.2904,4.72418,3.39433,5.43324
239,238,14.5202,2.88837,2.24137,9.14832
240,3,8.78138,7.9537,5.74509,2.38167
241,240,18.5086,4.04281,1.67636,12.8656
242,4,5.3349,7.44943,1.39951,14.6846
243,4,6.1395,6.16187,1.39951,16.0065
244,54,42.2023,23.6087,1.14102,85.0057
245,244,4.31666,3.48693,1.13372,127.903
246,220,5.68097,4.30747,1.13356,130.519
247,97,1.98106,45.9885,1.14102,64.0286
248,247,3.84099,9.03358,1.13394,101.03
249,1751,4.48988,35.1288,1.67636,40.0183
250,249,6.97741,6.96926,1.19737,68.2874
251,134,6.49683,3.06024,1.67636,47.2188
252,340,24.5039,33.2791,2.24137,28.3759
253,252,0.414594,7.35772,1.26385,63.7625
254,66,7.12142,3.60749,3.39433,13.5184
255,254,1.93955,9.8513,2.24137,21.6324
256,125,25.9221,20.6829,2.24137,28.1728
257,256,6.96624,4.8974,1.26385,52.8407
258,6,7.8914,4.60083,2.24137,23.5616
259,130,7.88847,9.17613,5.74509,11.7986
260,3675,37.0959,6.25651,1.67636,29.2605
261,260,4.37926,9.45085,1.14884,62.1327
262,331,24.988,16.4375,1.67636,16.8927
263,262,4.2216,7.69967,1.19737,39.4226
264,115,2.68856,4.67555,1.67636,14.4438
265,115,3.70468,9.27192,1.67636,10.081
266,113,19.0006,27.096,1.67636,19.8411
267,266,0.698161,9.51213,1.26385,45.2216
268,6,6.53845,2.09759,1.67636,25.3001
269,113,27.0425,33.4086,3.39433,29.0296
270,269,4.9826,2.6365,1.19737,66.8919
271,238,8.28437,1.21076,1.67636,10.0571
272,136,7.18929,10.0075,5.74509,15.0042
273,3,17.4273,17.9015,10.5,10.8442
274,273,8.472,3.35837,3.39433,27.9234
275,3623,17.017,7.8262,5.74509,8.68959
276,275,3.45858,6.85411,2.24137,22.2828
277,201,8.79313,7.25211,5.74509,15.9539
278,224,9.59186,9.30942,5.74509,11.9743
279,224,8.5124,6.05167,5.74509,13.5154
280,5,0.770815,0.210875,3.39433,28.3901
281,11,3.94424,0.620288,2.24137,20.9265
282,113,15.9767,29.5179,3.39433,21.8586
283,282,2.49309,2.33727,1.26385,52.1999
284,388,26.9449,48.4107,1.26385,55.6311
285,284,1.60787,0.234659,1.13719,110.064
286,66,1.39292,2.84619,5.74509,12.2869
287,238,7.5857,0.432338,2.24137,11.1028
288,66,6.89214,6.31335,5.74509,12.1798
289,288,3.66083,4.86204,3.39433,15.722
290,3,1.77686,4.399,10.5,9.94943
291,224,7.83517,5.43436,5.74509,14.3729
292,232,6.25787,3.60851,5.74509,9.39654
293,234,4.79399,3.12676,2.24137,26.844
294,1773,39.3451,4.57681,1.13719,96.9277
295,294,23.228,2.19215,1.13439,113.22
296,105,57.4266,41.6569,1.26385,65.1827
297,296,22.6551,4.10821,1.14102,116.358
298,56,22.6308,0.121972,1.13356,115.751
299,157,33.0436,19.1082,2.24137,33.8508
300,299,20.0373,0.904363,1.39951,56.2237
301,157,22.743,0.790115,1.39951,41.5247
302,111,36.0111,4.32804,2.24137,32.7953
303,302,22.7323,5.06643,1.39951,46.0945
304,130,18.9527,21.3128,3.39433,15.1771
305,304,23.704,3.69084,1.26385,33.4284
306,161,26.9772,2.32365,3.39433,20.9241
307,130,30.0761,12.9143,3.39433,20.5357
308,307,28.2225,1.28513,1.67636,32.3116
309,331,42.3123,30.1937,1.67636,38.8313
310,309,24.8568,3.95664,1.19737,70.3444
311,3,10.3519,8.27721,10.5,1.75836
312,311,23.2803,0.594368,3.39433,16.7973
313,1849,65.3963,48.2392,1.13356,136.124
314,313,25.6222,0.0744845,1.13351,198.588
315,3960,28.6037,23.9207,1.67636,23.7762
316,315,25.1181,4.46369,1.19737,43.5429
317,161,22.4427,1.82519,3.39433,23.0066
318,11,24.2185,3.71322,5.74509,18.1715
319,2284,53.5258,24.5668,1.39951,59.6214
320,319,24.5611,0.79595,1.1648,97.0916
321,5,25.0231,4.96261,5.74509,16.5756
322,109,26.5841,0.796037,1.13439,91.5929
323,3771,4.23509,32.0083,1.13356,131.076
324,323,7.30464,16.6362,1.13351,146.752
325,132,0.569009,12.6899,1.67636,14.2269
326,163,28.237,11.3801,1.39951,26.3153
327,326,2.14006,13.8939,1.14102,52.533
328,66,22.6061,9.59493,3.39433,27.9942
329,328,4.19988,11.8906,1.67636,46.543
330,120,3.26529,13.349,1.67636,12.5582
331,166,23.7309,16.2961,3.39433,15.6277
332,331,2.6391,10.4012,1.26385,37.5278
333,3,18.8023,13.2116,10.5,9.36992
334,333,0.59964,14.8963,1.67636,27.6504
335,115,3.62686,10.3972,1.19737,9.3636
336,136,2.17365,14.2662,3.39433,18.7307
337,115,0.76186,16.1609,1.67636,11.5995
338,120,4.41859,25.0066,5.74509,16.2221
339,338,3.37835,11.4848,2.24137,29.7838
340,163,15.3521,24.6273,3.39433,15.7818
341,340,11.0148,17.0314,2.24137,24.5289
342,5,11.5032,16.5653,2.24137,23.9278
343,66,12.2326,14.0434,5.74509,19.748
344,288,10.0306,13.2524,3.39433,19.7956
345,113,13.3039,14.1488,2.24137,12.8172
346,6,12.9263,15.0603,3.39433,23.4322
347,184,12.3472,14.4157,5.74509,7.65959
348,130,8.29523,16.284,5.74509,12.1821
349,66,10.3933,15.0694,5.74509,19.0365
350,136,12.6775,13.5117,3.39433,21.0515
351,282,19.4047,35.335,2.24137,28.6106
352,351,10.6689,15.5943,1.39951,50.1978
353,120,3.0375,21.0054,5.74509,13.0436
354,353,10.7706,17.5668,3.39433,21.5067
355,3960,20.7281,24.3432,2.24137,28.7049
356,355,11.5996,15.2238,1.67636,41.6082
357,353,10.9435,14.4713,3.39433,23.3003
358,184,15.9322,21.4785,5.74509,13.2708
359,358,10.045,16.2407,3.39433,21.1508
360,22,9.14012,8.93155,1.13372,118.494
361,11,6.96278,12.9008,3.39433,22.7393
362,3,35.3331,12.0451,3.39433,25.4155
363,362,6.45083,11.8806,1.39951,54.2982
364,113,18.8121,8.92309,5.74509,17.3
365,364,7.96699,9.24449,2.24137,28.1499
366,5,8.39547,8.55577,2.24137,20.9527
367,4,7.01327,12.8184,1.26385,9.84178
368,4,8.40635,11.4707,1.26385,11.7595
369,247,23.3205,24.3452,1.13439,94.4227
370,369,11.1934,11.4217,1.13372,112.145
371,353,2.18902,26.8967,3.39433,18.9956
372,371,10.536,12.963,1.19737,35.2382
373,184,9.49937,11.4567,5.74509,10.6214
374,192,8.78832,10.804,3.39433,14.9706
375,132,10.0457,11.883,3.39433,19.0974
376,99,43.1386,41.2713,1.39951,54.2101
377,376,8.4829,13.5503,1.14884,98.5888
378,355,8.93987,9.00273,1.39951,48.0515
379,302,6.63714,9.25004,1.26385,62.5787
380,331,27.2959,14.191,2.24137,19.7677
381,380,7.77381,10.5928,1.39951,39.6187
382,184,6.45043,12.1256,3.39433,12.0068
383,113,29.5619,35.3471,3.39433,32.0566
384,383,8.20767,12.5662,1.39951,63.2812
385,66,8.15988,16.5275,2.24137,18.8576
386,282,9.2825,17.1927,1.39951,35.8844
387,186,4.61451,13.7914,1.19737,39.9902
388,1751,11.1975,44.9361,1.67636,39.5049
389,388,7.47846,14.6063,1.14884,70.0619
390,338,6.25479,16.0675,3.39433,25.3478
391,67,38.9125,14.9192,1.19737,66.8798
392,391,9.3659,14.2086,1.14102,96.4349
393,388,7.04795,14.9873,1.1648,69.7398
394,311,3.22321,16.9858,5.74509,13.0126
395,3,3.78084,19.4907,5.74509,11.3468
396,395,7.14127,13.1128,3.39433,18.5558
397,353,8.23458,17.9201,3.39433,19.0875
398,130,11.3481,21.7725,3.39433,15.0023
399,398,9.54229,14.677,1.39951,22.324
400,130,8.61391,24.5033,3.39433,18.5328
401,400,8.21126,14.8288,1.67636,28.2156
402,184,8.14624,17.9057,1.39951,9.72823
403,311,3.2074,7.91685,5.74509,8.91193
404,403,5.46097,13.1849,1.67636,14.6418
405,232,3.92139,16.3582,1.67636,14.0502
406,3,9.63705,26.059,2.24137,16.0631
407,406,7.1213,15.764,1.19737,26.6609
408,66,7.2107,14.3894,2.24137,16.5351
409,120,6.10394,15.6683,5.74509,9.31063
410,224,8.37689,15.7452,1.39951,15.9706
411,153,3.21361,31.7873,3.39433,22.8595
412,411,6.36187,15.0945,1.67636,39.8466
413,4900,82.5366,29.8192,1.13351,187.402
414,413,79.1402,13.5164,1.13351,204.055
415,35,94.1143,47.5389,1.13351,164.573
416,415,74.4351,11.2015,1.13351,205.897
417,28,74.2303,10.4926,1.13351,156.858
418,27,95.7395,6.13399,1.13353,142.571
419,418,83.6148,11.9576,1.13351,156.022
420,4901,87.9276,13.1951,1.13351,235.648
421,420,78.8312,11.6145,1.13351,244.881
422,420,77.2013,12.5231,1.13351,246.396
423,4252,57.7097,33.6195,1.1648,69.9079
424,423,75.7803,14.2087,1.13531,96.4282
425,3840,38.5452,45.211,1.13361,127.834
426,425,80.4749,13.7328,1.13351,180.264
427,615,92.4476,5.29222,1.13351,194.955
428,427,78.7357,11.0419,1.13351,209.823
429,4712,83.097,0.85536,1.13352,165.806
430,429,77.3215,9.58869,1.13351,176.276
431,492,81.589,21.8535,1.13531,80.5965
432,431,76.608,11.4774,1.13372,92.1063
433,18,86.9463,17.2635,1.13394,131.802
434,433,81.3396,13.1381,1.13372,138.763
435,4686,61.275,31.4575,1.14102,82.401
436,435,80.9108,15.0715,1.13372,107.976
437,1917,84.4144,15.9993,1.13394,78.5197
438,437,78.6455,12.4007,1.13372,85.3189
439,4902,95.9761,48.2542,1.13394,120.116
440,439,84.4521,13.1944,1.13353,157.021
441,1977,89.0648,6.06428,1.1648,92.2277
442,441,79.3875,8.4735,1.14102,102.2
443,482,99.1106,13.3947,1.13353,93.0326
444,443,81.7857,10.5816,1.13351,110.584
445,180,74.4408,10.3158,1.1648,69.4608
446,3192,90.2175,29.2799,1.13439,87.5992
447,446,76.8168,10.387,1.13372,110.762
448,52,44.4904,42.4694,1.13531,86.7721
449,448,75.0672,14.4736,1.13356,128.229
450,2476,77.6267,13.9778,1.14884,77.3281
451,450,78.2231,11.4956,1.14102,79.8809
452,1932,81.6452,9.32445,1.1648,73.7819
453,452,79.7121,10.3974,1.14884,75.9928
454,4903,85.5389,20.1645,1.13353,110.772
455,454,84.1643,12.8864,1.13352,118.179
456,4904,71.2234,12.6836,1.13439,79.9456
457,456,80.2943,13.1507,1.13394,89.0285
458,2284,54.1953,1.73757,1.67636,47.1056
459,458,79.6409,8.96361,1.19737,73.5574
460,639,95.0129,4.14922,1.14102,88.3345
461,460,84.4978,12.7163,1.13531,101.898
462,1932,84.0473,6.10137,1.1648,76.859
463,462,82.2877,14.3921,1.14884,85.3344
464,559,78.7804,16.6111,1.13394,103.969
465,464,77.7088,13.0885,1.13372,107.651
466,431,81.9346,12.0581,1.13372,90.398
467,177,70.0521,25.0094,1.19737,68.2558
468,467,80.9701,15.4454,1.14884,82.7703
469,418,88.3307,3.26971,1.13352,150.515
470,469,89.0988,14.9107,1.13351,162.181
471,2290,69.7369,14.4446,1.13351,175.176
472,471,87.4081,12.6103,1.13351,192.942
473,541,81.9109,12.328,1.13351,169.576
474,473,87.8829,11.1881,1.13351,175.656
475,2074,95.3006,27.7436,1.13531,89.9192
476,475,86.8182,16.5428,1.13394,103.969
477,462,90.5516,13.1799,1.14102,86.472
478,956,49.7481,32.7278,1.14884,62.1287
479,478,87.5656,11.2511,1.13439,105.619
480,4905,88.3535,22.8309,1.13351,203.323
481,480,87.1,15.7471,1.13351,210.516
482,2074,92.756,15.2876,1.13439,86.402
483,482,87.737,11.5139,1.13394,92.6814
484,4906,91.3432,33.3524,1.13351,188.739
485,484,91.6143,13.8494,1.13351,208.244
486,4907,89.9023,11.6695,1.13719,91.9955
487,486,89.2666,17.8127,1.13531,98.1715
488,509,90.3506,16.1359,1.13719,101.066
489,488,88.7398,19.4723,1.13439,104.771
490,1915,77.3619,16.708,1.13361,71.2386
491,490,85.1725,13.8331,1.13356,79.5616
492,1880,83.5504,24.6018,1.14102,77.2201
