to,from,x,y,cov,cost
245,244,33.9425,25.6059,3.92957,65.6353
246,1179,55.9359,45.8987,3.87515,149.183
247,246,34.5798,24.6621,3.87515,179.301
248,87,26.7326,32.0625,5.79982,28.6164
249,248,34.0885,25.4802,4.10184,38.4874
250,49,27.7274,29.7427,4.81911,26.7171
251,250,34.0114,25.4132,4.33777,34.3482
252,47,12.0135,18.7724,7.78339,9.00054
253,252,35.2007,26.4657,4.33777,33.4307
254,1179,43.7726,46.0788,3.87515,148.288
255,254,35.1063,25.5161,3.87515,170.602
256,975,44.154,17.7109,4.33777,36.6652
257,256,35.1029,25.74,4.10184,48.7643
258,904,31.9235,21.5501,4.81911,25.1834
259,258,35.3462,24.8675,4.33777,29.95
260,642,30.7563,24.9096,3.98622,25.7377
261,260,34.0381,25.5699,3.92957,29.0853
262,108,34.9826,25.064,4.81911,29.7678
263,47,34.1822,24.4464,4.33777,28.1688
264,118,26.1805,28.6177,3.98622,56.5753
265,6374,27.2693,27.5457,3.8759,95.177
266,265,26.2897,29.4448,3.87551,97.3139
267,111,17.4117,31.0698,3.90182,34.6759
268,267,26.5751,28.8419,3.88821,44.1063
269,971,36.5199,31.9638,4.33777,45.0606
270,269,26.6222,29.816,3.92957,55.1887
271,11720,24.2265,20.7753,3.92957,41.4427
272,271,27.0578,30.22,3.88821,51.3026
273,3,28.775,26.404,3.88155,69.2066
274,196,27.814,27.584,4.10184,38.74
275,47,22.0982,38.3007,5.79982,30.7781
276,275,27.5942,30.6115,4.81911,40.2296
277,806,19.1045,32.9221,5.79982,24.7309
278,277,28.1737,27.2669,4.81911,35.4188
279,6765,36.6111,30.2834,4.33777,50.0772
280,279,28.679,29.9901,4.10184,58.0148
281,1094,20.8419,46.4043,3.87515,171.222
282,281,28.7009,27.5608,3.87515,191.639
283,47,2.13048,4.16967,11.62,9.79398
284,283,28.8038,30.7247,4.81911,47.4322
285,15,28.247,27.9155,4.81911,42.1156
286,47,28.1687,15.1291,7.78339,18.8788
287,286,28.2053,30.4044,4.81911,34.1541
288,777,23.6255,31.8831,4.10184,26.5913
289,288,27.085,28.1446,3.98622,31.6848
290,401,17.4067,26.5276,4.81911,18.1341
291,290,28.806,29.9618,4.10184,30.0394
292,47,11.0597,19.0064,11.62,9.06854
293,292,27.3384,27.8015,5.79982,27.5713
294,708,29.8876,28.1363,5.79982,27.03
295,294,27.2723,29.1471,4.33777,29.8339
296,47,9.62236,11.8924,7.78339,1.92967
297,296,27.0946,29.2307,4.81911,26.5447
298,49,26.8706,27.8295,4.81911,24.6956
299,47,28.4282,30.9335,4.81911,27.8892
300,2342,23.223,19.3523,7.78339,16.3084
301,300,28.3942,27.3705,4.81911,25.8495
302,581,19.9909,22.8078,3.98622,16.2469
303,302,27.2029,28.873,3.92957,25.6703
304,85,24.8791,15.9278,7.78339,16.174
305,304,31.8874,23.1093,4.81911,26.2084
306,7104,64.7286,44.9924,3.87668,93.8611
307,306,32.1509,23.4771,3.87519,132.902
308,6021,81.0082,45.9884,3.87551,110.897
309,308,33.4252,23.2787,3.87516,163.622
310,858,4.67445,22.4127,5.79982,13.5414
311,310,32.913,22.136,3.98622,41.7813
312,223,33.7837,22.8702,3.88821,52.4044
313,275,33.3517,23.8021,4.33777,49.1315
314,47,11.4393,3.21722,7.78339,6.9338
315,314,33.4623,22.67,3.98622,36.3179
316,768,24.1952,24.4463,7.78339,20.5429
317,316,32.6489,22.7449,5.79982,29.1662
318,47,35.4432,21.5502,5.79982,27.9421
319,318,33.7469,23.4581,4.81911,30.495
320,39,31.8075,23.5352,3.98622,26.5639
321,47,31.4791,23.1645,4.33777,25.1924
322,99,21.9663,15.5626,7.78339,13.1984
323,322,33.0291,23.2005,4.10184,26.6418
324,322,29.1441,20.9879,5.79982,22.1959
325,324,32.2613,24.2948,4.81911,26.7405
326,47,14.1548,12.8397,11.62,5.03254
327,326,32.367,22.4758,4.10184,25.6368
328,47,27.2565,18.0654,4.81911,19.0483
329,328,32.8449,24.0638,4.33777,27.2465
330,39,32.4592,23.4513,4.33777,26.3399
331,47,25.5512,19.8411,7.78339,18.4034
332,331,32.8944,22.0352,5.79982,26.0674
333,642,23.6824,16.7605,5.79982,15.2656
334,333,29.2511,26.2933,4.81911,26.3058
335,15,29.7537,26.1318,4.33777,39.82
336,401,21.3224,23.8224,5.79982,17.9305
337,336,30.1944,26.2686,4.81911,27.1335
