to,from,x,y,cov,cost
517,353,41.6849,32.0546,8.71056,169.078
518,370,42.9801,31.8361,8.72923,154.801
519,48,41.2161,32.463,9.37378,58.5872
520,2496,55.3726,13.1285,9.24696,48.6237
521,520,42.9773,31.8072,9.06103,71.041
522,1139,32.576,30.8069,9.53034,31.588
523,522,41.6315,32.0801,9.37378,40.7326
524,907,51.5833,16.4446,9.72363,43.3045
525,524,40.5766,31.1668,9.24696,61.6863
526,378,41.6628,31.7787,9.24696,40.7247
527,243,43.0785,31.3192,9.37378,49.0052
528,511,42.9609,31.8898,9.53034,43.4098
529,123,36.4007,30.7171,9.96226,34.0754
530,529,41.5105,29.3673,9.72363,39.3605
531,2103,23.8087,40.2662,10.2569,33.5561
532,531,42.0139,29.9863,9.72363,54.4632
533,54,41.2474,32.411,9.53034,39.6341
534,1085,31.0661,5.01945,10.6206,21.6483
535,534,40.2911,30.2132,9.72363,48.4779
536,18,41.1581,30.4339,9.72363,38.6259
537,18,40.124,30.7379,9.53034,38.4478
538,670,14.8176,11.333,10.2569,4.9986
539,538,41.1171,30.112,9.53034,37.3145
540,1558,38.9697,30.7128,9.96226,35.6248
541,540,42.9255,31.2655,9.53034,39.619
542,8546,36.1187,24.6436,9.96226,30.0128
543,542,42.4198,31.5043,9.72363,39.328
544,773,32.3152,26.826,9.72363,28.0478
545,544,41.158,31.8378,9.53034,38.2121
546,1,49.9777,45.502,8.72488,123.727
547,546,43.5632,29.7631,8.7185,140.723
548,74,44.6152,30.8981,8.78746,113.947
549,363,39.2694,34.8886,9.37378,61.35
550,549,42.4417,29.813,9.24696,67.3354
551,197,44.1654,30.7088,8.78746,103.702
552,58,44.0044,28.8247,9.72363,42.5166
553,670,11.5824,20.4927,10.2569,10.6114
554,553,46.0827,28.8082,9.24696,46.0997
555,8,42.7977,28.2459,8.7185,139.979
556,197,45.0029,29.1723,8.74944,105.452
557,12,13.783,45.6515,9.37378,73.1795
558,557,46.0994,28.2951,8.93904,109.862
559,2916,71.2723,45.7375,9.14424,89.8413
560,559,45.6349,30.6297,8.85901,119.599
561,9170,41.1916,33.442,9.14424,41.6425
562,561,44.3307,31.2872,9.06103,45.4501
563,372,45.5707,28.3452,9.14424,48.5129
564,74,51.406,45.5953,8.83,108.125
565,564,43.7652,29.6367,8.77205,125.818
566,842,74.2592,28.8182,9.53034,70.1195
567,566,45.0636,29.2865,8.99364,99.3189
568,101,45.1578,29.2849,9.14424,85.43
569,95,43.1033,30.0168,9.06103,61.7905
570,2383,19.1631,42.9724,9.53034,34.5352
571,570,45.5005,28.9173,9.06103,64.3883
572,226,47.7099,27.4868,9.96226,43.4475
573,572,45.334,29.6217,9.72363,46.6416
574,121,45.2626,33.0303,8.99364,42.9189
575,574,44.4042,29.8034,8.93904,46.258
576,48,42.7776,29.1373,9.53034,62.2583
577,2597,44.3444,24.5388,9.24696,38.351
578,577,43.4793,30.1506,9.06103,44.0291
579,452,44.7553,30.3642,8.93904,42.7546
580,263,52.8088,27.7833,9.72363,47.1227
581,580,42.8371,30.664,9.53034,57.5022
582,17337,38.7109,30.0331,9.96226,36.6266
583,582,43.3857,30.1883,9.72363,41.3039
584,914,33.4617,12.8867,10.2569,24.3459
585,584,43.1296,28.3933,9.37378,42.6194
586,115,42.8206,29.9409,10.2569,45.201
587,914,19.9808,8.97577,10.6206,10.3563
